;;*;*;*;*;*;*;*;*;*;*;*;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;chronic disease;chronic disease;chronic disease;chronic disease;infection;infection;infection;infection;infection;inflammation;inflammation;inflammation;inflammation;neoplasm;neoplasm;toxicity / intoxication;toxicity / intoxication
;;allelopathy;allergy;antioxidant;antipyretic;chronic disease;diuretic;infection;inflammation;neoplasm;stimulant;toxicity / intoxication;antifeedant;arbuscula development;attractant;germination;herbicidal;hppd inhibitor;hyphal branching;hyphal growth;phytotoxicity;quorum sensing;repulsive;toxicant;antidiabetic;cardiovascular;obesity;rheumatism;antibacterial;antifungal;antimicrobial;antiparasitic;antiviral;anti-inflammatory;arthritis;burns;wound;anticancer;cytotoxicity;sedative;toxicity
phenolic compound;phenylpropanoid;9;1;337;1;1;3;29;36;36;2;41;2;0;8;27;0;0;0;0;10;2;0;0;16;10;1;0;56;44;62;4;31;82;5;1;32;4;129;2;40
phenolic compound;stilbene;5;26;2436;1;138;16;172;782;1810;5;306;3;0;0;23;0;0;0;1;7;9;1;0;113;264;237;0;144;147;119;10;114;700;51;12;91;108;1072;2;276
phenolic compound;tannin;34;67;4981;134;85;101;612;528;466;8;1563;8;0;0;152;0;0;0;0;36;26;2;4;712;150;127;1;2042;771;1514;43;270;646;106;76;386;140;1164;41;1480
phenolic compound;xanthone;3;14;463;4;16;7;70;185;531;0;144;0;0;0;6;1;0;0;0;2;7;0;1;75;34;28;0;234;136;140;2;74;149;28;3;36;63;652;2;139
polyketide;acetogenin;2;2;17;1;0;0;1;5;65;0;34;0;0;0;3;1;0;0;0;2;1;0;0;2;2;1;0;23;13;9;5;6;7;0;0;2;6;226;0;34
polyketide;ansamycin;0;0;4;0;2;0;49;4;54;1;21;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;21;9;23;0;10;3;2;1;2;3;40;0;17
polyketide;macrolide;1;323;66;68;1149;179;8249;511;647;14;708;0;0;10;18;2;0;0;0;12;45;1;0;95;325;101;0;1141;1049;2147;156;189;256;199;38;230;68;761;49;664
polyketide;polyene;1;9;70;0;25;2;207;44;134;3;154;0;0;4;10;1;0;0;0;4;5;2;2;1;18;8;0;59;892;87;4;25;22;13;8;15;6;124;1;141
polyketide;polyether;0;10;25;1;8;0;39;46;35;1;70;0;0;0;3;0;0;0;0;1;0;2;1;0;19;3;0;85;15;38;6;7;11;2;6;39;13;129;1;64
polyketide;tetracycline;3;473;429;96;1531;648;23791;888;1518;28;2157;0;0;0;53;1;0;0;2;40;161;1;0;255;392;165;3;3100;1162;6397;72;159;424;909;362;1782;40;802;126;1856
terpenoid / terpene;diterpene;24;16;424;8;33;9;193;350;890;2;336;26;0;3;38;5;0;0;0;33;13;0;1;72;56;36;1;392;229;272;11;209;551;72;5;69;71;1367;8;307
terpenoid / terpene;hemiterpene;0;4;29;0;7;0;17;13;29;0;17;0;0;0;2;0;0;0;0;2;0;0;0;1;1;3;0;7;3;4;2;4;4;4;0;1;0;30;0;16
terpenoid / terpene;monoterpene;19;3;171;1;2;0;17;25;36;0;103;6;0;13;28;5;0;0;0;29;3;0;0;8;5;3;1;92;76;110;3;15;51;4;1;10;11;113;3;102
terpenoid / terpene;norisoprenoid;1;0;17;0;0;1;0;3;18;0;3;0;0;3;1;0;0;0;0;2;0;0;0;1;0;0;0;7;4;4;0;2;14;0;0;0;1;22;1;2
terpenoid / terpene;polyterpene;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
terpenoid / terpene;sesquiterpene;83;239;817;24;56;21;233;492;949;12;358;60;0;31;127;21;0;1;4;103;21;0;0;96;37;48;0;766;670;678;42;218;708;51;10;111;105;1971;29;330
terpenoid / terpene;sesterterpene;0;0;6;0;0;0;3;12;30;0;12;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;28;18;20;0;4;25;1;0;2;5;112;1;12
terpenoid / terpene;tetraterpene;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
terpenoid / terpene;triterpene;15;25;1085;34;71;25;222;730;1239;8;-1;-1;0;0;30;2;0;4;-1;-1;-1;1;1;297;77;116;2;475;325;351;26;285;892;126;20;189;127;2027;21;391
